0.006667	19.999999	0.265716
0.013333	19.999999	1.696493
0.020000	19.999999	5.334756
0.026667	19.999999	10.679733
0.033333	19.999999	18.365052
0.040000	19.999999	24.905750
0.046667	19.999999	33.245140
0.053333	19.999999	39.591659
0.060000	19.999999	41.942225
0.066667	19.999999	41.768485
0.073333	19.999999	39.704077
0.080000	19.999999	36.270214
0.086667	19.999999	31.753044
0.093333	19.999999	26.377407
0.100000	19.999999	20.449901
0.106667	19.999999	14.001181
0.113333	19.999999	6.980151
0.120000	19.999999	0.061319
0.126667	19.999999	-4.905523
0.133333	19.999999	-5.999046
0.140000	19.999999	-4.210574
0.146667	19.999999	-0.245276
0.153333	19.999999	5.580033
0.160000	19.999999	12.335347
0.166667	19.999999	20.071766
0.173333	19.999999	28.595113
0.180000	19.999999	37.588573
0.186667	19.999999	47.113463
0.193333	19.999999	54.512628
0.200000	19.999999	57.323087
0.206667	19.999999	57.507037
0.213333	19.999999	55.677691
0.220000	19.999999	52.417559
0.226667	19.999999	48.023029
0.233333	19.999999	42.729151
0.240000	19.999999	36.903843
0.246667	19.999999	30.506224
0.253333	19.999999	23.658930
0.260000	19.999999	16.637900
0.266667	19.999999	9.310274
0.273333	19.999999	1.614735
0.280000	19.999999	-6.101244
0.286667	19.999999	-13.868323
0.293333	19.999999	-21.798919
0.300000	19.999999	-29.678415
0.306667	19.999999	-37.680552
0.313333	19.999999	-43.403660
0.320000	19.999999	-44.967295
0.326667	19.999999	-43.505860
0.333333	19.999999	-39.775617
0.340000	19.999999	-34.410203
0.346666	19.999999	-27.757086
0.353333	19.999999	-19.928689
0.360000	19.999999	-11.722157
0.366666	19.999999	-2.728697
0.373333	19.999999	7.194768
0.380000	19.999999	17.005814
0.386666	19.999999	27.164335
0.393333	19.999999	37.670331
0.400000	19.999999	48.206987
0.406666	19.999999	58.886722
0.413333	19.999999	69.607332
0.420000	19.999999	80.195088
0.426666	19.999999	90.854377
0.433333	19.999999	101.789606
0.440000	19.999999	112.152526
0.446666	19.999999	120.175102
0.453333	19.999999	123.711159
0.460000	19.999999	124.252821
0.466666	19.999999	122.730057
0.473333	19.999999	119.633454
0.480000	19.999999	115.422875
0.486666	19.999999	110.302733
0.493333	19.999999	104.467204
0.500000	19.999999	98.202445
0.506666	19.999999	91.477789
0.513333	-19.999999	84.231921
0.520000	-19.999999	77.159793
0.526666	-19.999999	69.689089
0.533333	-19.999999	62.003767
0.540000	-19.999999	54.308231
0.546666	-19.999999	46.459394
0.553333	-19.999999	38.487918
0.560000	-19.999999	30.536881
0.566666	-19.999999	22.493869
0.573333	-19.999999	14.369096
0.580000	-19.999999	6.274982
0.586666	-19.999999	-2.350563
0.593333	-19.999999	-10.710392
0.600000	-19.999999	-18.743187
0.606666	-19.999999	-26.939499
0.613333	-19.999999	-35.258447
0.620000	-19.999999	-43.424099
0.626666	-19.999999	-51.671511
0.633333	-19.999999	-60.000685
0.640000	-19.999999	-68.207212
0.646666	-19.999999	-76.495503
0.653333	-19.999999	-84.845115
0.660000	-19.999999	-93.072085
0.666666	-19.999999	-101.360376
0.673333	-19.999999	-109.853061
0.680000	-19.999999	-117.957394
0.686666	-19.999999	-126.245679
0.693333	-19.999999	-134.636170
0.700000	-19.999999	-142.883582
0.706666	-19.999999	-151.171880
0.713333	-19.999999	-159.868965
0.719999	-19.999999	-167.850656
0.726666	-19.999999	-176.128722
0.733333	-19.999999	-182.086887
0.739999	-19.999999	-183.854923
0.746666	-19.999999	-182.526342
0.753333	-19.999999	-178.806320
0.759999	-19.999999	-173.604421
0.766666	-19.999999	-167.012633
0.773333	-19.999999	-159.347753
0.779999	-19.999999	-151.059455
